Property_Name,Location,Property_Type,Room_Type,Price,Rating,Reviews,Free_Cancellation,Price_for_night
"TATA Rio De Goa ,Good Stay 1 BHK Apartment,10 min from Airport, 604",Dabolim,Entire apartment,One-Bedroom Apartment,8000,8.3,36,Yes,2
Casa Margarida,Calangute,Entire apartment,Apartment - Ground Floor,4998,9.4,154,Yes,2
Goodstay Sunlit Bliss Cozy2BHK with Luxe Touch704,Dabolim,Entire apartment,One-Bedroom Apartment,9500,8.7,14,Yes,2
AR APARTMENTS -Arpora,Arpora,Entire apartment,Apartment with Pool View,6478,9.0,1,Yes,2
Chique Shanti Villa,Mandrem,Entire apartment,Two-Bedroom Apartment with Pool View,13600,10.0,1,Yes,2
The Royal Oasis Goa,Majorda,Entire apartment,One-Bedroom Apartment,6200,9.5,118,Yes,2
Casa De Solares- New 2BHK Apartment with Pool Candolim,Pilerne,Entire apartment,Two-Bedroom Apartment with View,12113,10.0,3,Yes,2
Muffys Villa,Arpora,Entire villa,Three-Bedroom Villa,8064,8.0,12,No,2
2 bhk apartment baga kyle,Calangute,Entire apartment,Deluxe Two-Bedroom Apartment with Garden View,9000,8.3,0,Yes,2
EM Coastal Studios 303,Calangute,Entire apartment,Studio Apartment,5580,9.1,9,No,2
Palolem Sunrise Apartment,Palolem,Entire apartment,Deluxe Apartment,6000,8.7,72,No,2
Viraam Estate by RÊVE Escapes - Premium 4 BHK Villa Near Anjuna Beach,Assagao,Entire villa,Villa,162000,8.3,0,Yes,2
Luxy 3BHK Bungalow in Goa,Calangute,Entire villa,Three-Bedroom Villa,6666,8.3,0,Yes,2
Candolim apartment,Candolim,Entire apartment,Two-Bedroom Apartment,6478,5.0,1,No,2
Seacoast Retreat varca,Varca,Entire apartment,One-Bedroom Apartment,5900,9.7,3,Yes,2
Cosy Garden Grove,Candolim,Entire apartment,One-Bedroom Apartment,6300,10.0,2,No,2
"Woodpegger By The Beach, Mandrem",Mandrem,Entire villa,Beach Villa with Living room,38831,6.7,185,No,2
APARTMENT AS-6,Candolim,Entire apartment,Apartment with Garden View,4400,8.3,0,Yes,2
Aamra Ghar by evaddo,Mandrem,Entire apartment,One-Bedroom Apartment,6200,8.0,16,Yes,2
Ruby Apartments 4,Calangute,Entire villa,Two-Bedroom Villa,9298,9.5,10,Yes,2
The Avenue Orlim,Cavelossim,Entire apartment,Deluxe Two-Bedroom Apartment,8910,5.4,16,No,2
Riviera Hermitage Ocean Breeze,Arpora,Entire apartment,One-Bedroom Apartment,7000,8.8,17,Yes,2
Cozy Cabana - The Perfect Getaway,Benaulim,Entire apartment,One-Bedroom Apartment,14250,9.7,7,Yes,2
Vagator Beachside Studio Apartment,Vagator,Entire apartment,Studio Apartment,6080,8.1,21,Yes,2
Premium Coastal 1BHK Near Vibrant Candolim Strip,Candolim,Entire apartment,Two-Bedroom Apartment,6300,8.3,0,No,2
Moroccan Suite Calangute Beach Vibe,Calangute,Entire apartment,Superior Apartment,7558,9.8,38,Yes,2
"The Infinity Pool Villa Hotel by DanCenter, Baga Beach, Goa",Arpora,Entire villa,Standard Villa,40847,5.5,2,Yes,2
Wave 1,Arpora,Entire apartment,Two-Bedroom Apartment,5508,9.8,4,Yes,2
Leoney Resort Goa,Vagator,Entire villa,Villa with Garden View,11000,6.5,64,No,2
"La Sierra, 2 & 3BHK Villas near Anjuna & Vagator Beach with Private Pool, Terrace, Garden, Kitchen & Security",Mapusa,Entire villa,La Sierra 07|Patio|Full Power Back-Up|Cook Avl,52265,10.0,1,Yes,2
"La Macedo, Luxury 3 BHK Villas in Assagao, with Private Pool, Garden, Terrace, Parking, Security",Mapusa,Entire villa,La Macedo 04|Patio|Full Power Back-Up|Wifi|Cook Avl,61295,9.3,4,Yes,2
"The Blue Nook, a premium 1BHK suite by Da Alohas",Porvorim,Entire apartment,Two-Bedroom Apartment,10200,8.3,0,Yes,2
Thee Haven Candolim,Candolim,Entire apartment,Apartment,3600,9.1,14,No,2
Eutierria Living,Canacona,Entire apartment,One-Bedroom Apartment,7000,9.5,2,Yes,2
Mona Collective at Serenova,Calangute,Entire apartment,One-Bedroom Apartment,8000,9.8,6,Yes,2
Casa Nona-Luxurious 3BHK Pvt Pool Villa North Goa,Pilerne,Entire villa,Three-Bedroom Villa,22680,8.3,0,No,2
LUXURY 3BHk VILLA WITH PRIVATE POOL NEAR CANDOLIM,Goa,Entire villa,Three-Bedroom Villa,19888,10.0,1,Yes,2
4 Bhk baga dream villa,Calangute,Entire villa,Deluxe Villa,15800,4.7,3,Yes,2
'Golden Sea Shell' 1 bhk Beach apartment,Benaulim,Entire apartment,One-Bedroom Apartment,7920,9.7,36,No,2
Saldana Kiran Park - Home Stay,Calangute,Entire apartment,Two-Bedroom Apartment,6398,8.0,1,Yes,2
RK Homes Service Apartments,Sancoale,Entire apartment,Two-Bedroom Apartment with Sea View,8000,7.0,2,Yes,2
Peter’s vacation rentals Goa,Calangute,Entire studio,Studio,3998,7.0,3,Yes,2
Goa Garden 6BHK Villa with Private Pool Near Baga,Marmagao,Entire villa,Villa,29159,10.0,1,No,2
Radhika Eco Resort(Odonata),Arambol,Entire villa,Villa with Private Pool,16200,8.7,151,Yes,2
Goa Suites Holiday Home,Calangute,Entire villa,Two-Bedroom Villa,7615,7.8,11,Yes,2
Apricot Homestays,Palolem,Entire apartment,Apartment,6336,8.1,28,Yes,2
Mahalaxmi Homestay II,Mapusa,Entire apartment,Three-Bedroom Apartment,14000,10.0,2,Yes,2
"Mado by HNH, Assagao",Assagao,Entire villa,Superior Villa,19440,4.0,1,Yes,2
Raj 3bhk Villa Calangute,Calangute,Entire apartment,One-Bedroom Apartment,3778,8.3,0,Yes,2
Family Apartment near Calangute Baga Beach,Calangute,Entire apartment,One-Bedroom Apartment,5600,7.7,3,Yes,2
Casa Avasa - 3bhk Private Pool Villa in Siolim,Camorlim,Entire villa,Three-Bedroom Villa,23040,8.3,0,Yes,2
Casa js holiday,Calangute,Entire studio,Deluxe Studio,2598,1.0,2,Yes,2
Shalom home stay,Candolim,Entire apartment,Apartment,3998,6.0,1,Yes,2
Tropical VIBES RETREAT,Calangute,Entire apartment,Deluxe One-Bedroom Apartment,5600,1.0,1,Yes,2
Alegro Beach Homes,Palolem,Entire studio,Studio with Ocean View,11160,8.3,104,Yes,2
2bhk near beach,Candolim,Entire apartment,Two-Bedroom Apartment,9000,1.0,2,No,2
Kara Casa,Calangute,Entire apartment,Apartment,6500,8.3,0,Yes,2
"Pool facing luxury 1bhk near Calangute,baga beach",Calangute,Entire apartment,One-Bedroom Apartment,9000,10.0,2,Yes,2
Pleasant 2bhk Holiday Home,Arpora,Entire apartment,Two-Bedroom Apartment,4038,10.0,1,No,2
"El Arbol with Rooftop Pool, Kitchen, Wifi, Security,10 Mins to Candolim Beach & 5 mins to Casino",Panaji,Entire apartment,ElArbol |Charming Apt w/ Pvt Garden| Rooftop Pool,12942,9.2,84,Yes,2
Studio Arambol Escape R-8 by Mukund Sadan Arambol,Arambol,Entire apartment,One-Bedroom Apartment,2600,8.5,2,Yes,2
White Guest House,Candolim,Entire apartment,One-Bedroom Apartment,4860,8.0,14,Yes,2
1BHK AC Apartment 500m from Cavelossim Beach-Sussegado,Cavelossim,Entire apartment,One-Bedroom Apartment,5184,9.9,15,No,2
Casa Vagator,Vagator,Entire villa,Three-Bedroom Villa,54000,7.2,49,Yes,2
"TATA Rio de Goa ,Good Stay Premium 2 BHK Apartment,6 km from Airport, - 101",Dabolim,Entire apartment,Two-Bedroom Apartment,9600,8.6,28,Yes,2
Cozy Nest 4BR Luxury Villa- 10 mins from Thalassa & Vagator Beach,Anjuna,Entire villa,Villa,43200,8.3,0,Yes,2
Villa Poorvi by Hireavilla - 4BHK Villa in Siolim with Pool and Forest View,Marna,Entire villa,Villa,53176,8.3,0,Yes,2
'Golden Bay' 2bhk beach villa,Benaulim,Entire villa,Villa,16000,10.0,1,Yes,2
1 BHK near Calangute Beach A1-201,Calangute,Entire apartment,One-Bedroom Apartment with Balcony,5000,8.3,0,Yes,2
"Love Story Villas, Baga-Private Pool Villas",Arpora,Entire villa,Three-Bedroom Villa,25200,10.0,3,Yes,2
Kalash Apartments with Kitchen,Calangute,Entire villa,Three-Bedroom Villa,7198,3.1,7,Yes,2
Modern 1BHK Condo With Pool 3min Walk To Beach,Orlim,Entire apartment,One-Bedroom Apartment,5100,8.3,0,Yes,2
Private pool heritage villa in Cavelossim area,Velim,Entire villa,Villa,27216,8.3,0,No,2
Sai Homestay Goa,Panaji,Entire studio,Studio,5600,9.1,18,Yes,2
Luna by Hireavilla - 2BR with Private Pool in Anjuna,Anjuna,Entire villa,Villa with Private Pool,29287,8.3,17,Yes,2
2bhk sea view villa near Thalassa,Assagao,Entire villa,One-Bedroom Villa,22000,8.3,5,Yes,2
Affordable Goan Villa at Agonda,Agonda,Entire villa,Three-Bedroom Villa,9498,8.0,1,Yes,2
"The Gipsy Cove, Baga Beach",Baga,Entire apartment,Three-Bedroom Apartment with Balcony,8798,8.6,7,Yes,2
Poolside Apartment Bliss by the Pool Goa,Candolim,Entire apartment,One-Bedroom Apartment,8100,9.5,24,No,2
STARBURST By The Beach Goa,Benaulim,Entire studio,Superior Studio,8238,10.0,3,Yes,2
Casa Brooklyn Portuguese Heritage,Saligao,Entire villa,Villa with Garden View,7558,9.5,18,Yes,2
Calangute 3bhk Apartment Goa,Candolim,Entire apartment,Three-Bedroom Apartment,12869,8.3,0,Yes,2
Tien B&B & Bistro,Vagator,Entire villa,Villa,12000,9.4,22,Yes,2
