,Property_Name,Location,Property_Type,Room_Type,Price,Rating,Reviews,Free_Cancellation
187,StayVista at Villa Kinara The Luxury Collection,Verem,Entire villa,Villa,182023,,,Yes
188,Lairai's Happy Home,Candolim,Entire apartment,One-Bedroom Apartment,3600,9.3,4,Yes
189,Devasthali - The Valley of Gods,Bogmalo,Private suite,Executive Suite,11998,7.8,140,No
190,Aveeno Villas with Swimming Pool Near Calangute & Baga,Sangolda,Entire villa,Two-Bedroom Villa,11998,6.5,14,Yes
191,EKOSTAY - Gold -Casa Pino,Candolim,Entire villa,Villa with Private Pool,37620,10,1,Yes
192,Luxury 6 BHK Villa with Private Swimming Pool Near Calangute & Baga,Old Goa,Entire villa,Villa,23578,6.5,15,Yes
193,Beach Bliss Apartment Hotel - 7 Minutes walk to Beach,Colva,Entire apartment,Apartment with Pool View,8400,9.5,61,Yes
194,Candolim 2bhk apartment Goa,Aguada,Entire apartment,Two-Bedroom Apartment,6838,3.5,2,No
195,Morii by the sea - Morjim Beach,Morjim,Entire villa,Villa,34160,8.5,39,Yes
196,Agosto @Aansav Verde Fatrade Varca GOA 3 BR Villa,Varca,Entire villa,Three-Bedroom Villa,14400,8.6,32,Yes
197,Riviera Hermitage,Arpora,Entire apartment,Deluxe One-Bedroom Apartment,10800,8.4,38,Yes
198,2BHK Private house in Calangute,Candolim,Entire apartment,Two-Bedroom Apartment,9000,7.0,3,No
199,Sachi Guest House in Calangute,Calangute,Entire apartment,One-Bedroom Apartment,3000,,,Yes
200,EKOSTAY - Belvedere Apartment,Goa,Entire apartment,Two-Bedroom Apartment,8910,8.5,14,Yes
201,Manshi Guest House,Pernem,Entire apartment,One-Bedroom Apartment,3000,,,Yes
202,Travelerz Homes,Calangute,Entire studio,Studio,2000,4.2,24,Yes
203,Asian Golden Sands - S7 & S8,Benaulim,Entire apartment,One-Bedroom Apartment,5400,8.6,62,Yes
204,Ocean Walk Apartments 2BHK,Calangute,Entire studio,Studio with Balcony,3798,6.5,20,Yes
205,Casa Legend Villa & Apartments Arpora - Baga - Goa,Baga,Entire apartment,Studio Apartment with Pool View,7009,8.6,155,No
206,Pappa's Guest House,Arambol,Entire apartment,One-Bedroom Apartment,5998,9.2,99,Yes
207,StayVista at Casa PuMa with Pool & WiFi,Camorlim,Entire villa,Three-Bedroom Villa,30176,10,1,Yes
208,EKOSTAY - Assa Villa,Marna,Entire villa,Villa with Private Pool,43560,,,Yes
209,Rainforest - Casa Azure 5 Min walk to the beach,Calangute,Entire apartment,Studio Apartment,8998,8.6,100,Yes
210,Quadruple Comfort Calangute Goa,Calangute,Entire apartment,One-Bedroom Apartment,2666,3.7,14,Yes
211,Barcelona Villas at Love Story Siolim- 3BHK Private Pool Villas,Siolim,Entire villa,Villa with Private Pool,25200,8.6,19,Yes
212,"Benaulim Coastal Meadows, 1BHK, swimming pool, 2 min walking to beach",Benaulim,Entire apartment,Two-Bedroom Apartment,4860,9.6,9,No
213,The August Villas by HNH,Saligao,Entire villa,Three-Bedroom Villa,16000,5.2,8,Yes
214,EKOSTAY Luxe - Casa Marina,Candolim,Entire villa,6BHK with private PLUNGE POOL & NON Heated Jacuzzi,38610,8.0,8,Yes
215,Beachside luxury getaway,Cana,Entire apartment,One-Bedroom Apartment,4000,10,1,Yes
216,Lar Amorosa Boutique Hotel - Goa,Calangute,Entire apartment,Studio Apartment,6203,8.5,27,Yes
217,Siolim 6bhk Private Villa with Private Pool close to Anjuna Vagator,Siolim,Entire villa,Villa,30292,10,2,No
218,Luxury 2BHK Apartment in Candolim,Candolim,Entire apartment,Two-Bedroom Apartment with Balcony,13678,8.5,16,No
219,RN guest house,Arambol,Entire apartment,One-Bedroom Apartment,1600,10,1,Yes
220,CALUX Joia Do Mar Resort - Calangute,Calangute,Entire villa,Three-Bedroom Villa (6 Adults),26100,6.1,67,Yes
221,AlexMarie Holiday Homes Apartments 5 min to Candolim Beach,Candolim,Entire apartment,One-Bedroom Apartment with Terrace,3971,9.2,14,Yes
222,Clarion Hotel Ocean Palms Goa,Calangute,Entire villa,Sky Villa: INR 500 Food Credit per stay once at Terra,59500,8.0,40,Yes
223,"Sortby Stays, Vagator",Vagator,Entire studio,Studio with Balcony,7700,6.7,67,Yes
224,Premium Luxury -1BHK at Candolim Beach with Free Wifi and Pool,Candolim,Entire apartment,Apartment with Pool View,4802,8.8,13,Yes
225,Baga Apartments Goa,Calangute,Entire apartment,Two-Bedroom Apartment,4724,4.0,9,No
226,The Island Pool Villa,Vainguinim,Entire villa,Villa,54000,9.7,3,Yes
227,La Vaiencia luxury apartments - Siolim,Marna,Entire apartment,One-Bedroom Apartment,8909,,,No
228,Heritage Exotica - Studio Apartment with Bathtub 500 sqft,Arpora,Entire apartment,One-Bedroom Apartment,6398,10,1,Yes
229,Whiteboard Homes Siolim,Siolim,Entire studio,Studio,8000,9.4,11,No
230,"La Soria, Premium 2 BHK Villas in Assagao with Private Pool, Kitchen, Security, Small Garden",Assagao,Entire villa,La Soria 05|Patio|Garden|Balcony|Wifi,39583,9.3,3,Yes
231,Birdsnest Seaview Home,Dabolim,Entire apartment,Two-Bedroom Apartment,8500,8.9,66,Yes
232,Sea Horizon Resort,Mandrem,Entire villa,Three-Bedroom Villa,20000,10,3,Yes
233,Diva Gomes Guest House,Nuvem,Entire apartment,Two-Bedroom Apartment,10200,10,1,Yes
234,"Goa Chillout Apartment - 1BHK, Baga",Baga,Entire apartment,Apartment with Pool View,6118,7.9,26,No
235,Casa Arvana Near Calangute Beach,Calangute,Entire apartment,Apartment,10800,8.9,9,No
236,Richnest Apartment and villas Colva,Colva,Entire apartment,Deluxe One-Bedroom Apartment,4000,7.2,8,Yes
